0,1,2,3,4
18,,Jenson Button,Benetton,2001 German Grand Prix
19,,Enrique Bernoldi,Arrows,2001 German Grand Prix
20,,Jos Verstappen,Arrows,2001 German Grand Prix
21,,Fernando Alonso,Minardi,2001 German Grand Prix
22,,Tarso Marques,Minardi,2001 German Grand Prix
1,,Michael Schumacher,Ferrari,2001 Hungarian Grand Prix
2,,David Coulthard,McLaren,2001 Hungarian Grand Prix
3,,Rubens Barrichello,Ferrari,2001 Hungarian Grand Prix
4,,Ralf Schumacher,Williams,2001 Hungarian Grand Prix
5,,Jarno Trulli,Jordan,2001 Hungarian Grand Prix
6,,Mika Häkkinen,McLaren,2001 Hungarian Grand Prix
7,,Nick Heidfeld,Sauber,2001 Hungarian Grand Prix
8,,Juan Pablo Montoya,Williams,2001 Hungarian Grand Prix
9,,Kimi Räikkönen,Sauber,2001 Hungarian Grand Prix
10,,Jacques Villeneuve,BAR,2001 Hungarian Grand Prix
11,,Olivier Panis,BAR,2001 Hungarian Grand Prix
12,,Jean Alesi,Jordan,2001 Hungarian Grand Prix
13,,Pedro de la Rosa,Jaguar,2001 Hungarian Grand Prix
14,,Eddie Irvine,Jaguar,2001 Hungarian Grand Prix
15,,Giancarlo Fisichella,Benetton,2001 Hungarian Grand Prix
16,,Heinz-Harald Frentzen,Prost,2001 Hungarian Grand Prix
17,,Jenson Button,Benetton,2001 Hungarian Grand Prix
18,,Fernando Alonso,Minardi,2001 Hungarian Grand Prix
19,,Luciano Burti,Prost,2001 Hungarian Grand Prix
20,,Enrique Bernoldi,Arrows,2001 Hungarian Grand Prix
21,,Jos Verstappen,Arrows,2001 Hungarian Grand Prix
22,,Tarso Marques,Minardi,2001 Hungarian Grand Prix
1,,Juan Pablo Montoya,Williams,2001 Belgian Grand Prix
2,,Ralf Schumacher,Williams,2001 Belgian Grand Prix
3,,Michael Schumacher,Ferrari,2001 Belgian Grand Prix
4,,Heinz-Harald Frentzen,Prost,2001 Belgian Grand Prix
5,,Rubens Barrichello,Ferrari,2001 Belgian Grand Prix
6,,Jacques Villeneuve,BAR,2001 Belgian Grand Prix
7,,Mika Häkkinen,McLaren,2001 Belgian Grand Prix
8,,Giancarlo Fisichella,Benetton,2001 Belgian Grand Prix
9,,David Coulthard,McLaren,2001 Belgian Grand Prix
10,,Pedro de la Rosa,Jaguar,2001 Belgian Grand Prix
11,,Olivier Panis,BAR,2001 Belgian Grand Prix
12,,Kimi Räikkönen,Sauber,2001 Belgian Grand Prix
13,,Jean Alesi,Jordan,2001 Belgian Grand Prix
14,,Nick Heidfeld,Sauber,2001 Belgian Grand Prix
15,,Jenson Button,Benetton,2001 Belgian Grand Prix
16,,Jarno Trulli,Jordan,2001 Belgian Grand Prix
17,,Eddie Irvine,Jaguar,2001 Belgian Grand Prix
18,,Luciano Burti,Prost,2001 Belgian Grand Prix
19,,Jos Verstappen,Arrows,2001 Belgian Grand Prix
20,,Fernando Alonso,Minardi,2001 Belgian Grand Prix
21,,Enrique Bernoldi,Arrows,2001 Belgian Grand Prix
22,,Tarso Marques,Minardi,2001 Belgian Grand Prix
1,,Juan Pablo Montoya,Williams,2001 Italian Grand Prix
2,,Rubens Barrichello,Ferrari,2001 Italian Grand Prix
3,,Michael Schumacher,Ferrari,2001 Italian Grand Prix
4,,Ralf Schumacher,Williams,2001 Italian Grand Prix
5,,Jarno Trulli,Jordan,2001 Italian Grand Prix
6,,David Coulthard,McLaren,2001 Italian Grand Prix
7,,Mika Häkkinen,McLaren,2001 Italian Grand Prix
8,,Nick Heidfeld,Sauber,2001 Italian Grand Prix
9,,Kimi Räikkönen,Sauber,2001 Italian Grand Prix
10,,Pedro de la Rosa,Jaguar,2001 Italian Grand Prix
11,,Jenson Button,Benetton,2001 Italian Grand Prix
12,,Heinz-Harald Frentzen,Prost,2001 Italian Grand Prix
13,,Eddie Irvine,Jaguar,2001 Italian Grand Prix
14,,Giancarlo Fisichella,Benetton,2001 Italian Grand Prix
15,,Jacques Villeneuve,BAR,2001 Italian Grand Prix
16,,Jean Alesi,Jordan,2001 Italian Grand Prix
17,,Olivier Panis,BAR,2001 Italian Grand Prix
18,,Enrique Bernoldi,Arrows,2001 Italian Grand Prix
19,,Jos Verstappen,Arrows,2001 Italian Grand Prix
20,,Tomáš Enge,Prost,2001 Italian Grand Prix
21,,Fernando Alonso,Minardi,2001 Italian Grand Prix
22,,Alex Yoong,Minardi,2001 Italian Grand Prix
1,1:11.708,Michael Schumacher,Ferrari,2001 United States Grand Prix
2,+0.278,Ralf Schumacher,Williams,2001 United States Grand Prix
3,+0.544,Juan Pablo Montoya,Williams,2001 United States Grand Prix
4,+0.601,Mika Häkkinen,McLaren,2001 United States Grand Prix
5,+0.619,Rubens Barrichello,Ferrari,2001 United States Grand Prix
6,+0.726,Nick Heidfeld,Sauber,2001 United States Grand Prix
7,+0.792,David Coulthard,McLaren,2001 United States Grand Prix
8,+0.897,Jarno Trulli,Jordan,2001 United States Grand Prix
9,+0.899,Jean Alesi,Jordan,2001 United States Grand Prix
10,+1.097,Jenson Button,Benetton,2001 United States Grand Prix
11,+1.173,Kimi Räikkönen,Sauber,2001 United States Grand Prix
12,+1.234,Giancarlo Fisichella,Benetton,2001 United States Grand Prix
13,+1.414,Olivier Panis,BAR,2001 United States Grand Prix
14,+1.481,Eddie Irvine,Jaguar,2001 United States Grand Prix
15,+1.573,Heinz-Harald Frentzen,Prost,2001 United States Grand Prix
16,+1.971,Pedro de la Rosa,Jaguar,2001 United States Grand Prix
17,+2.283,Fernando Alonso,Minardi,2001 United States Grand Prix
18,+2.304,Jacques Villeneuve,BAR,2001 United States Grand Prix
19,+2.421,Enrique Bernoldi,Arrows,2001 United States Grand Prix
20,+2.430,Jos Verstappen,Arrows,2001 United States Grand Prix
21,+2.477,Tomáš Enge,Prost,2001 United States Grand Prix
22,+3.539,Alex Yoong,Minardi,2001 United States Grand Prix
1,,Michael Schumacher,Ferrari,2001 Japanese Grand Prix
2,,Juan Pablo Montoya,Williams,2001 Japanese Grand Prix
3,,Ralf Schumacher,Williams,2001 Japanese Grand Prix
4,,Rubens Barrichello,Ferrari,2001 Japanese Grand Prix
5,,Mika Häkkinen,McLaren,2001 Japanese Grand Prix
6,,Giancarlo Fisichella,Benetton,2001 Japanese Grand Prix
7,,David Coulthard,McLaren,2001 Japanese Grand Prix
8,,Jarno Trulli,Jordan,2001 Japanese Grand Prix
9,,Jenson Button,Benetton,2001 Japanese Grand Prix
10,,Nick Heidfeld,Sauber,2001 Japanese Grand Prix
11,,Jean Alesi,Jordan,2001 Japanese Grand Prix
12,,Kimi Räikkönen,Sauber,2001 Japanese Grand Prix
13,,Eddie Irvine,Jaguar,2001 Japanese Grand Prix
14,,Jacques Villeneuve,BAR,2001 Japanese Grand Prix
15,,Heinz-Harald Frentzen,Prost,2001 Japanese Grand Prix
16,,Pedro de la Rosa,Jaguar,2001 Japanese Grand Prix
17,,Olivier Panis,BAR,2001 Japanese Grand Prix
18,,Fernando Alonso,Minardi,2001 Japanese Grand Prix
19,,Tomáš Enge,Prost,2001 Japanese Grand Prix
20,,Enrique Bernoldi,Arrows,2001 Japanese Grand Prix
21,,Jos Verstappen,Arrows,2001 Japanese Grand Prix
22,,Alex Yoong,Minardi,2001 Japanese Grand Prix
1,,Rubens Barrichello,Ferrari,2002 Australian Grand Prix
2,,Michael Schumacher,Ferrari,2002 Australian Grand Prix
3,,Ralf Schumacher,Williams,2002 Australian Grand Prix
4,,David Coulthard,McLaren,2002 Australian Grand Prix
5,,Kimi Räikkönen,McLaren,2002 Australian Grand Prix
6,,Juan Pablo Montoya,Williams,2002 Australian Grand Prix
7,,Jarno Trulli,Renault,2002 Australian Grand Prix
8,,Giancarlo Fisichella,Jordan,2002 Australian Grand Prix
9,,Felipe Massa,Sauber,2002 Australian Grand Prix
10,,Nick Heidfeld,Sauber,2002 Australian Grand Prix
11,,Jenson Button,Renault,2002 Australian Grand Prix
12,,Olivier Panis,BAR,2002 Australian Grand Prix
13,,Jacques Villeneuve,BAR,2002 Australian Grand Prix
14,,Mika Salo,Toyota,2002 Australian Grand Prix
15,,Heinz-Harald Frentzen,Arrows,2002 Australian Grand Prix
16,,Allan McNish,Toyota,2002 Australian Grand Prix
17,,Enrique Bernoldi,Arrows,2002 Australian Grand Prix
18,,Mark Webber,Minardi,2002 Australian Grand Prix
19,,Eddie Irvine,Jaguar,2002 Australian Grand Prix
20,,Pedro de la Rosa,Jaguar,2002 Australian Grand Prix
21,,Alex Yoong,Minardi,2002 Australian Grand Prix
22,,Takuma Sato,Jordan,2002 Australian Grand Prix
1,1:35.266,Michael Schumacher,Ferrari,2002 Malaysian Grand Prix
2,+0.231,Juan Pablo Montoya,Williams,2002 Malaysian Grand Prix
3,+0.625,Rubens Barrichello,Ferrari,2002 Malaysian Grand Prix
4,+0.762,Ralf Schumacher,Williams,2002 Malaysian Grand Prix
5,+1.202,Kimi Räikkönen,McLaren,2002 Malaysian Grand Prix
6,+1.211,David Coulthard,McLaren,2002 Malaysian Grand Prix
7,+1.933,Nick Heidfeld,Sauber,2002 Malaysian Grand Prix
8,+1.979,Jenson Button,Renault,2002 Malaysian Grand Prix
9,+2.270,Giancarlo Fisichella,Jordan,2002 Malaysian Grand Prix
10,+2.428,Mika Salo,Toyota,2002 Malaysian Grand Prix
11,+2.653,Heinz-Harald Frentzen,Arrows,2002 Malaysian Grand Prix
12,+2.654,Jarno Trulli,Renault,2002 Malaysian Grand Prix
13,+2.773,Jacques Villeneuve,BAR,2002 Malaysian Grand Prix
14,+2.791,Felipe Massa,Sauber,2002 Malaysian Grand Prix
15,+2.875,Takuma Sato,Jordan,2002 Malaysian Grand Prix
16,+3.018,Enrique Bernoldi,Arrows,2002 Malaysian Grand Prix
17,+3.108,Pedro de la Rosa,Jaguar,2002 Malaysian Grand Prix
18,+3.124,Olivier Panis,BAR,2002 Malaysian Grand Prix
19,+3.693,Allan McNish,Toyota,2002 Malaysian Grand Prix
20,+3.855,Eddie Irvine,Jaguar,2002 Malaysian Grand Prix
21,+4.188,Mark Webber,Minardi,2002 Malaysian Grand Prix
22,+4.892,Alex Yoong,Minardi,2002 Malaysian Grand Prix
1,,Juan Pablo Montoya,Williams,2002 Brazilian Grand Prix
2,,Michael Schumacher,Ferrari,2002 Brazilian Grand Prix
3,,Ralf Schumacher,Williams,2002 Brazilian Grand Prix
4,,David Coulthard,McLaren,2002 Brazilian Grand Prix
5,,Kimi Räikkönen,McLaren,2002 Brazilian Grand Prix
6,,Jarno Trulli,Renault,2002 Brazilian Grand Prix
7,,Jenson Button,Renault,2002 Brazilian Grand Prix
8,,Rubens Barrichello,Ferrari,2002 Brazilian Grand Prix
9,,Nick Heidfeld,Sauber,2002 Brazilian Grand Prix
10,,Mika Salo,Toyota,2002 Brazilian Grand Prix
11,,Pedro de la Rosa,Jaguar,2002 Brazilian Grand Prix
12,,Felipe Massa,Sauber,2002 Brazilian Grand Prix
13,,Eddie Irvine,Jaguar,2002 Brazilian Grand Prix
14,,Giancarlo Fisichella,Jordan,2002 Brazilian Grand Prix
15,,Jacques Villeneuve,BAR,2002 Brazilian Grand Prix
16,,Allan McNish,Toyota,2002 Brazilian Grand Prix
17,,Olivier Panis,BAR,2002 Brazilian Grand Prix
18,,Heinz-Harald Frentzen,Arrows,2002 Brazilian Grand Prix
19,,Takuma Sato,Jordan,2002 Brazilian Grand Prix
20,,Mark Webber,Minardi,2002 Brazilian Grand Prix
21,,Enrique Bernoldi,Arrows,2002 Brazilian Grand Prix
22,,Alex Yoong,Minardi,2002 Brazilian Grand Prix
1,,Michael Schumacher,Ferrari,2002 San Marino Grand Prix
2,,Rubens Barrichello,Ferrari,2002 San Marino Grand Prix
3,,Ralf Schumacher,Williams,2002 San Marino Grand Prix
4,,Juan Pablo Montoya,Williams,2002 San Marino Grand Prix
5,,Kimi Räikkönen,McLaren,2002 San Marino Grand Prix
6,,David Coulthard,McLaren,2002 San Marino Grand Prix
